                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.5722,                 1.3963,                 1.4117,                0.35509,                0.41865,                0.32597,                0.11412,                 2.3717,                 2.1383,                 2.2028,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.5681,                 1.4765,                 1.4068,                0.32334,                 0.5124,                 0.3276,                0.11433,                 2.3538,                 2.1178,                  2.174,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.4118,                 1.3926,                 1.3224,                0.33917,                0.52066,                0.35951,                0.12554,                 2.2974,                 2.0063,                 2.1299,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.4883,                 1.3773,                 1.3789,                  0.368,                0.53719,                0.38211,                0.13448,                 2.2589,                 1.9235,                 2.1363,               0.000713,               0.000713,               0.000713
                     67,                 1.4721,                 1.3698,                 1.3683,                0.37459,                0.54545,                 0.3807,                0.13524,                 2.2562,                 1.9485,                 2.1559,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.4805,                 1.3301,                 1.3354,                0.36255,                0.53585,                0.34308,                0.11988,                 2.2691,                 2.0341,                 2.1735,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.4447,                 1.3111,                 1.3347,                0.31486,                0.47476,                0.32042,                0.11245,                 2.2684,                 2.0963,                 2.1746,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.4685,                 1.3961,                 1.3476,                0.32901,                0.52893,                0.32587,                0.11199,                 2.2732,                 2.0858,                 2.1611,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.4229,                 1.2806,                 1.3204,                0.36233,                0.52893,                0.33304,                0.11665,                 2.3026,                  2.036,                 2.1769,               0.000614,               0.000614,               0.000614
                     72,                 1.4453,                 1.3235,                 1.3476,                0.38721,                0.55372,                 0.3588,                 0.1254,                 2.3109,                 1.9465,                 2.1456,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.3894,                 1.3832,                 1.2965,                 0.4175,                0.53719,                0.36874,                0.12742,                 2.3352,                 1.9022,                 2.1527,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.4623,                 1.3308,                 1.3148,                0.37137,                0.54545,                0.35827,                0.13117,                 2.3456,                 1.8997,                 2.1663,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.4755,                  1.269,                 1.3146,                0.36524,                0.52893,                0.35632,                0.13252,                  2.355,                  1.899,                 2.1754,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.3803,                 1.2414,                 1.2627,                0.35324,                 0.5124,                0.34345,                0.13292,                 2.3197,                 1.9202,                 2.1221,               0.000515,               0.000515,               0.000515
                     77,                  1.404,                 1.3426,                 1.3074,                0.36976,                 0.5124,                0.33282,                0.12719,                 2.3102,                 1.9019,                 2.1068,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.3504,                 1.3125,                 1.2927,                0.38653,                0.58678,                0.37465,                0.13845,                 2.2819,                 1.8461,                 2.0804,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.3811,                 1.2695,                 1.2971,                0.38399,                0.61983,                0.39185,                0.14344,                 2.2652,                 1.8346,                 2.0888,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.2854,                 1.1788,                 1.2417,                 0.4189,                0.57025,                0.38563,                0.14449,                   2.23,                 1.8479,                 2.0964,              0.0004358,              0.0004358,              0.0004358
                     81,                  1.337,                 1.2152,                 1.2797,                 0.4111,                0.53078,                0.38571,                0.14361,                  2.223,                 1.8809,                  2.103,               0.000416,               0.000416,               0.000416
                     82,                 1.3233,                 1.1711,                 1.2598,                0.37638,                0.54545,                0.35908,                0.13619,                  2.227,                 1.9558,                 2.1094,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.3171,                 1.3156,                 1.2763,                0.38277,                0.55372,                0.36476,                0.13329,                 2.2245,                 1.9691,                 2.1139,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.3349,                 1.2578,                  1.261,                 0.3864,                0.52893,                0.34971,                0.12863,                  2.217,                 2.0202,                 2.1061,              0.0003566,              0.0003566,              0.0003566
